Time resolution is 1 ps
time	rst_n	spi_en	start	fall_en	rise_en	sclk	clk_div_en	load	latch_rx	assert_cs	deassert_cs	busy	done
0	0	0	0	0	0	1	0		0	0		0		0		0	0
50000	1	0	0	0	0	1	0		0	0		0		0		0	0
70000	1	1	0	0	0	1	0		0	0		0		0		0	0
90000	1	1	1	0	0	1	0		1	0		1		0		0	0
110000	1	1	0	0	0	1	1		0	0		0		0		1	0
150000	1	1	0	1	0	0	1		0	0		0		0		1	0
170000	1	1	0	0	0	1	1		0	0		0		0		1	0
190000	1	1	0	0	1	1	1		0	0		0		0		1	0
210000	1	1	0	0	0	1	1		0	0		0		0		1	0
230000	1	1	0	1	0	0	1		0	0		0		0		1	0
250000	1	1	0	0	0	1	1		0	0		0		0		1	0
270000	1	1	0	0	1	1	1		0	0		0		0		1	0
290000	1	1	0	0	0	1	1		0	0		0		0		1	0
310000	1	1	0	1	0	0	1		0	0		0		0		1	0
330000	1	1	0	0	0	1	1		0	0		0		0		1	0
350000	1	1	0	0	1	1	1		0	0		0		0		1	0
370000	1	1	0	0	0	1	1		0	0		0		0		1	0
390000	1	1	0	1	0	0	1		0	0		0		0		1	0
410000	1	1	0	0	0	1	1		0	0		0		0		1	0
430000	1	1	0	0	1	1	1		0	0		0		0		1	0
450000	1	1	0	0	0	1	1		0	0		0		0		1	0
470000	1	1	0	1	0	0	1		0	0		0		0		1	0
490000	1	1	0	0	0	1	1		0	0		0		0		1	0
510000	1	1	0	0	1	1	1		0	0		0		0		1	0
530000	1	1	0	0	0	1	1		0	0		0		0		1	0
550000	1	1	0	1	0	0	1		0	0		0		0		1	0
570000	1	1	0	0	0	1	1		0	0		0		0		1	0
590000	1	1	0	0	1	1	1		0	0		0		0		1	0
610000	1	1	0	0	0	1	1		0	0		0		0		1	0
630000	1	1	0	1	0	0	1		0	0		0		0		1	0
650000	1	1	0	0	0	1	1		0	0		0		0		1	0
670000	1	1	0	0	1	1	1		0	0		0		0		1	0
690000	1	1	0	0	0	1	1		0	0		0		0		1	0
710000	1	1	0	1	0	0	1		0	0		0		0		1	0
730000	1	1	0	0	0	1	1		0	0		0		0		1	0
750000	1	1	0	0	1	1	1		0	0		0		0		1	0
770000	1	1	0	0	0	1	1		0	0		0		0		1	0
790000	1	1	0	1	0	0	1		0	0		0		0		1	0
810000	1	1	0	0	0	1	1		0	0		0		0		1	0
830000	1	1	0	0	1	1	1		0	0		0		0		1	0
850000	1	1	0	0	0	1	1		0	0		0		0		1	0
870000	1	1	0	1	0	0	1		0	0		0		0		1	0
890000	1	1	0	0	0	1	1		0	0		0		0		1	0
910000	1	1	0	0	1	1	1		0	0		0		0		1	0
930000	1	1	0	0	0	1	1		0	0		0		0		1	0
950000	1	1	0	1	0	0	1		0	0		0		0		1	0
970000	1	1	0	0	0	1	1		0	0		0		0		1	0
990000	1	1	0	0	1	1	1		0	0		0		0		1	0
1010000	1	1	0	0	0	1	1		0	0		0		0		1	0
1030000	1	1	0	1	0	0	1		0	0		0		0		1	0
1050000	1	1	0	0	0	1	1		0	0		0		0		1	0
1070000	1	1	0	0	1	1	1		0	0		0		0		1	0
1090000	1	1	0	0	0	1	1		0	0		0		0		1	0
1110000	1	1	0	1	0	0	1		0	0		0		0		1	0
1130000	1	1	0	0	0	1	1		0	0		0		0		1	0
1150000	1	1	0	0	1	1	1		0	0		0		0		1	0
1170000	1	1	0	0	0	1	1		0	0		0		0		1	0
1190000	1	1	0	1	0	0	1		0	0		0		0		1	0
1210000	1	1	0	0	0	1	1		0	0		0		0		1	0
1230000	1	1	0	0	1	1	1		0	0		0		0		1	0
1250000	1	1	0	0	0	1	1		0	0		0		0		1	0
1270000	1	1	0	1	0	0	1		0	0		0		0		1	0
1290000	1	1	0	0	0	1	1		0	0		0		0		1	0
1310000	1	1	0	0	1	1	1		0	0		0		0		1	0
1330000	1	1	0	0	0	1	1		0	0		0		0		1	0
1350000	1	1	0	1	0	0	1		0	0		0		0		1	0
1370000	1	1	0	0	0	1	1		0	0		0		0		1	0
1390000	1	1	0	0	1	1	1		0	1		0		0		1	0
1410000	1	1	0	0	0	1	0		0	0		0		1		0	1
1430000	1	1	0	1	0	1	0		0	0		0		0		0	0
1450000	1	1	0	0	0	1	0		0	0		0		0		0	0
1470000	1	1	0	0	1	1	0		0	0		0		0		0	0
1490000	1	1	0	0	0	1	0		0	0		0		0		0	0
1510000	1	1	0	1	0	1	0		0	0		0		0		0	0
1530000	1	1	0	0	0	1	0		0	0		0		0		0	0
1550000	1	1	0	0	1	1	0		0	0		0		0		0	0
1570000	1	1	0	0	0	1	0		0	0		0		0		0	0
1590000	1	1	0	1	0	1	0		0	0		0		0		0	0
1610000	1	1	0	0	0	1	0		0	0		0		0		0	0
1630000	1	1	0	0	1	1	0		0	0		0		0		0	0
1650000	1	1	0	0	0	1	0		0	0		0		0		0	0
1670000	1	1	0	1	0	1	0		0	0		0		0		0	0
1690000	1	1	0	0	0	1	0		0	0		0		0		0	0
1710000	1	1	0	0	1	1	0		0	0		0		0		0	0
1730000	1	1	0	0	0	1	0		0	0		0		0		0	0
1750000	1	1	1	0	0	1	0		1	0		1		0		0	0
1770000	1	1	0	0	0	1	1		0	0		0		0		1	0
1790000	1	1	0	1	0	0	1		0	0		0		0		1	0
1810000	1	1	0	0	0	1	1		0	0		0		0		1	0
1830000	1	1	0	0	1	1	1		0	0		0		0		1	0
1850000	1	1	0	0	0	1	1		0	0		0		0		1	0
1870000	1	1	0	1	0	0	1		0	0		0		0		1	0
1890000	1	1	0	0	0	1	1		0	0		0		0		1	0
1910000	1	1	0	0	1	1	1		0	0		0		0		1	0
1930000	1	1	0	0	0	1	1		0	0		0		0		1	0
1950000	1	1	0	1	0	0	1		0	0		0		0		1	0
1970000	1	1	0	0	0	1	1		0	0		0		0		1	0
1990000	1	1	0	0	1	1	1		0	0		0		0		1	0
2010000	1	1	0	0	0	1	1		0	0		0		0		1	0
2030000	1	1	0	1	0	0	1		0	0		0		0		1	0
2050000	1	1	0	0	0	1	1		0	0		0		0		1	0
2070000	1	1	0	0	1	1	1		0	0		0		0		1	0
2090000	1	1	0	0	0	1	1		0	0		0		0		1	0
2110000	1	1	0	1	0	0	1		0	0		0		0		1	0
2130000	1	1	0	0	0	1	1		0	0		0		0		1	0
2150000	1	1	0	0	1	1	1		0	0		0		0		1	0
2170000	1	1	0	0	0	1	1		0	0		0		0		1	0
2190000	1	1	0	1	0	0	1		0	0		0		0		1	0
2210000	1	1	0	0	0	1	1		0	0		0		0		1	0
2230000	1	1	0	0	1	1	1		0	0		0		0		1	0
2250000	1	1	0	0	0	1	1		0	0		0		0		1	0
2270000	1	1	0	1	0	0	1		0	0		0		0		1	0
2290000	1	1	0	0	0	1	1		0	0		0		0		1	0
2310000	1	1	0	0	1	1	1		0	0		0		0		1	0
2330000	1	1	0	0	0	1	1		0	0		0		0		1	0
2350000	1	1	0	1	0	0	1		0	0		0		0		1	0
2370000	1	1	0	0	0	1	1		0	0		0		0		1	0
2390000	1	1	0	0	1	1	1		0	0		0		0		1	0
2410000	1	1	0	0	0	1	1		0	0		0		0		1	0
2430000	1	1	0	1	0	0	1		0	0		0		0		1	0
2450000	1	1	0	0	0	1	1		0	0		0		0		1	0
2470000	1	1	0	0	1	1	1		0	0		0		0		1	0
2490000	1	1	0	0	0	1	1		0	0		0		0		1	0
2510000	1	1	0	1	0	0	1		0	0		0		0		1	0
2530000	1	1	0	0	0	1	1		0	0		0		0		1	0
2550000	1	1	0	0	1	1	1		0	0		0		0		1	0
2570000	1	1	0	0	0	1	1		0	0		0		0		1	0
2590000	1	0	0	0	0	1	1		0	0		0		0		1	0
2610000	1	0	0	1	0	0	1		0	0		0		0		1	0
2630000	1	0	0	0	0	1	1		0	0		0		0		1	0
2650000	1	0	0	0	1	1	1		0	0		0		0		1	0
2670000	1	0	0	0	0	1	1		0	0		0		0		1	0
2690000	1	0	0	1	0	0	1		0	0		0		0		1	0
2710000	1	0	0	0	0	1	1		0	0		0		0		1	0
2730000	1	0	0	0	1	1	1		0	0		0		0		1	0
2750000	1	0	0	0	0	1	1		0	0		0		0		1	0
2770000	1	0	0	1	0	0	1		0	0		0		0		1	0
2790000	1	0	0	0	0	1	1		0	0		0		0		1	0
2810000	1	0	0	0	1	1	1		0	0		0		0		1	0
2830000	1	0	0	0	0	1	1		0	0		0		0		1	0
2850000	1	0	0	1	0	0	1		0	0		0		0		1	0
2870000	1	0	0	0	0	1	1		0	0		0		0		1	0
2890000	1	0	0	0	1	1	1		0	0		0		0		1	0
2910000	1	0	0	0	0	1	1		0	0		0		0		1	0
2930000	1	0	0	1	0	0	1		0	0		0		0		1	0
2950000	1	0	0	0	0	1	1		0	0		0		0		1	0
2970000	1	0	0	0	1	1	1		0	0		0		0		1	0
2990000	1	0	0	0	0	1	1		0	0		0		0		1	0
3010000	1	0	0	1	0	0	1		0	0		0		0		1	0
3030000	1	0	0	0	0	1	1		0	0		0		0		1	0
3050000	1	0	0	0	1	1	1		0	1		0		0		1	0
3070000	1	0	0	0	0	1	0		0	0		0		1		0	1
3090000	1	0	0	1	0	1	0		0	0		0		0		0	0
3110000	1	0	0	0	0	1	0		0	0		0		0		0	0
3130000	1	0	0	0	1	1	0		0	0		0		0		0	0
3150000	1	0	0	0	0	1	0		0	0		0		0		0	0
3170000	1	0	0	1	0	1	0		0	0		0		0		0	0
3190000	1	0	0	0	0	1	0		0	0		0		0		0	0
3210000	1	0	0	0	1	1	0		0	0		0		0		0	0
3230000	1	0	0	0	0	1	0		0	0		0		0		0	0
3250000	1	0	0	1	0	1	0		0	0		0		0		0	0
3270000	1	0	0	0	0	1	0		0	0		0		0		0	0
3290000	1	0	0	0	1	1	0		0	0		0		0		0	0
3310000	1	0	0	0	0	1	0		0	0		0		0		0	0
3330000	1	0	0	1	0	1	0		0	0		0		0		0	0
3350000	1	0	0	0	0	1	0		0	0		0		0		0	0
3370000	1	0	0	0	1	1	0		0	0		0		0		0	0
3390000	1	0	0	0	0	1	0		0	0		0		0		0	0
3410000	1	0	0	1	0	1	0		0	0		0		0		0	0
3430000	1	0	0	0	0	1	0		0	0		0		0		0	0
3450000	1	0	0	0	1	1	0		0	0		0		0		0	0
3470000	1	0	0	0	0	1	0		0	0		0		0		0	0
3490000	1	0	0	1	0	1	0		0	0		0		0		0	0
3510000	1	0	0	0	0	1	0		0	0		0		0		0	0
3530000	1	0	0	0	1	1	0		0	0		0		0		0	0
3550000	1	0	0	0	0	1	0		0	0		0		0		0	0
3570000	1	0	0	1	0	1	0		0	0		0		0		0	0
3590000	1	0	0	0	0	1	0		0	0		0		0		0	0
3610000	1	0	0	0	1	1	0		0	0		0		0		0	0
3630000	1	0	0	0	0	1	0		0	0		0		0		0	0
3650000	1	0	0	1	0	1	0		0	0		0		0		0	0
3670000	1	0	0	0	0	1	0		0	0		0		0		0	0
3690000	1	0	0	0	1	1	0		0	0		0		0		0	0
3710000	1	0	0	0	0	1	0		0	0		0		0		0	0
3730000	1	0	0	1	0	1	0		0	0		0		0		0	0
3750000	1	0	0	0	0	1	0		0	0		0		0		0	0
3770000	1	0	0	0	1	1	0		0	0		0		0		0	0
3790000	1	0	0	0	0	1	0		0	0		0		0		0	0
3810000	1	0	0	1	0	1	0		0	0		0		0		0	0
3830000	1	0	0	0	0	1	0		0	0		0		0		0	0
3850000	1	0	0	0	1	1	0		0	0		0		0		0	0
3870000	1	0	0	0	0	1	0		0	0		0		0		0	0
3890000	1	0	0	1	0	1	0		0	0		0		0		0	0
3910000	1	0	0	0	0	1	0		0	0		0		0		0	0
3930000	1	0	0	0	1	1	0		0	0		0		0		0	0
3950000	1	0	0	0	0	1	0		0	0		0		0		0	0
3970000	1	0	0	1	0	1	0		0	0		0		0		0	0
3990000	1	0	0	0	0	1	0		0	0		0		0		0	0
